variable,stage,state_type,defined_by_formula_id,source_v4_line,observable,notes
Q_NT_in_s,flotation,flow,V5_0148,1446,no,
Q_NT_under_s,flotation,flow,V5_0149,1461,no,
Q_air,flotation,flow,V5_0150,848,no,
Q_air_sp,flotation,setpoint,V5_0151,838,no,
"Q_air_sp_{s,c}",flotation,flow,V5_0152,1535,no,
Q_air_total,flotation,flow,V5_0153,1538,no,
"Q_air_{s,c}",flotation,flow,V5_0154,1557,no,
Q_blower_b,flotation,flow,V5_0155,1543,no,
Q_conc,magnetic,flow,V5_0156,1241,no,
Q_conc_water,magnetic,flow,V5_0157,1240,no,
Q_cooling_water,magnetic,flow,V5_0158,1220,no,
Q_feed_meter_phys,flotation,physical_signal,V5_0159,1623,no,
Q_feed_s1_total,flotation,flow,V5_0160,1625,no,
Q_feed_s2_total,flotation,flow,V5_0161,1626,no,
Q_flush,magnetic,flow,V5_0162,1262,no,
Q_froth_cell,flotation,flow,V5_0163,895,no,
"Q_froth_cell_{s,c}",flotation,flow,V5_0164,1619,no,
Q_ft_s1_1701_phys,flotation,physical_signal,V5_0165,1629,no,
Q_ft_s1_1702_phys,flotation,physical_signal,V5_0166,1630,no,
Q_ft_s2_2701_phys,flotation,physical_signal,V5_0167,1631,no,
Q_ft_s2_2702_phys,flotation,physical_signal,V5_0168,1632,no,
"Q_in_cell_{s,cx1}",flotation,flow,V5_0169,1574,no,
"Q_in_cell_{s,cx2}",flotation,flow,V5_0170,1575,no,
"Q_in_cell_{s,cx3}",flotation,flow,V5_0171,1576,no,
"Q_in_cell_{s,jx}",flotation,flow,V5_0172,1577,no,
"Q_in_cell_{s,sx1}",flotation,flow,V5_0173,1578,no,
"Q_in_cell_{s,sx2}",flotation,flow,V5_0174,1579,no,
"Q_in_cell_{s,sx3}",flotation,flow,V5_0175,1580,no,
"Q_in_pool_{s,1}",flotation,flow,V5_0176,1634,no,
"Q_in_pool_{s,2}",flotation,flow,V5_0177,1635,no,
"Q_in_pool_{s,3}",flotation,flow,V5_0178,1636,no,
