variable,stage,state_type,defined_by_formula_id,source_v4_line,observable,notes
u_oil_cooler,tower_mill,derived,V5_0484,1389,no,
u_oil_cooler_sp,tower_mill,setpoint,V5_0485,1388,no,
u_sand,tower_mill,derived,V5_0486,1325,no,
u_sand_sp,tower_mill,setpoint,V5_0487,1324,no,
u_sp,global,setpoint,V5_0488,282,no,
"u_steam_fb_{s,k}",flotation,derived,V5_0489,1649,no,
"u_steam_sp_{s,k}",flotation,derived,V5_0490,1648,no,
u_tail,magnetic,derived,V5_0491,1247,no,
u_tail_1_sp,magnetic,setpoint,V5_0492,1245,no,
u_tail_2,magnetic,derived,V5_0493,1248,no,
u_tail_2_sp,magnetic,setpoint,V5_0494,1246,no,
u_tail_total_sp,magnetic,setpoint,V5_0495,1243,no,
u_water,tower_mill,derived,V5_0496,1320,no,
u_water_sp,tower_mill,setpoint,V5_0497,1319,no,
x_phys,dcs,physical_signal,V5_0498,1121,no,
y_fx_xin1,system,derived,V5_0499,1111,no,
y_fx_xin_s,flotation,derived,V5_0500,974,no,
y_fx_xin_s_true,flotation,derived,V5_0501,973,no,
dose_TD_s,flotation,derived,V5M_0502,manual,no,Actual TD dose from metering pump flow; added in V5 to close dose -> effect chain.
dose_DF_K6_s,flotation,derived,V5M_0503,manual,no,Actual K6/DF dose from pump flow. L_k6_s remains inventory sink unless starvation mode is enabled.
dose_naoh_kg_t_s,flotation,derived,V5M_0504,manual,no,Actual NaOH dose from pump flow.
dose_cao_kg_t_s,flotation,derived,V5M_0505,manual,no,Actual CaO dose from pump flow.
Q_feed_s,flotation,flow,V5M_0506,manual,no,Connect thickener underflow volumetric flow to the real flotation feed for each series.
M_feed_solid_s,flotation,flow,V5M_0507,manual,no,Connect thickener underflow solid flow to flotation reagent/load controllers.
M_feed_water_s,flotation,flow,V5M_0508,manual,no,Connect thickener underflow water flow to flotation feed stream.
C_s,flotation,derived,V5M_0509,manual,no,Series flotation feed concentration from the actual thickener underflow stream.
M_feed_j_s,flotation,flow,V5M_0510,manual,no,Component feed rate entering the first flotation cell from thickener underflow.
feed_grade_j_s,flotation,derived,V5M_0511,manual,no,Component grade of the actual flotation feed stream.
floatability_difficulty_s,flotation,derived,V5M_0512,manual,no,Series-specific difficult-floatability score used by reagent controllers.
selectivity_proxy_s,flotation,derived,V5M_0513,manual,no,Series-specific selectivity proxy used by K6 demand.
E_Ca2_sil_s,flotation,derived,V5M_0514,manual,no,Series-specific Ca2+ effect for silicate flotation kinetics.
E_Ca2_carb_s,flotation,derived,V5M_0515,manual,no,Series-specific Ca2+ effect for carbonate flotation kinetics.
"M_cell_solid_prev_{s,c}",flotation,state_reference,V5M_0516,manual,no,Total previous solid inventory inside flotation cell CSTR.
"feed_j_rate_{s,c}",flotation,flow,V5M_0517,manual,no,Resolved by flotation topology and explicitly consumes middling return pump outputs.
"entrainment_j_rate_{s,c}",flotation,flow,V5M_0518,manual,no,Mechanical entrainment rate from CSTR pulp discharge and slime/clay entrainment factor.
"rho_froth_mix_{s,c}",flotation,derived,V5M_0519,manual,no,Froth mixture density for Q_froth_cell conversion.
rho_solid_mix_feed,tower_mill,derived,V5M_0520,manual,no,Alias for tower mill feed solid density until component-specific feed density is expanded.
fx_s{s}_{c}_froth_h,dcs,dcs,V5M_0521,manual,no,Froth height DCS output with explicit fault injection edge.
lab_tm_overflow_tfe,lab,lab,V5M_0522,manual,no,Concrete instance of the lab sampling template for tower-mill overflow TFe.
lab_mag_mixed_conc_tfe,lab,lab,V5M_0523,manual,no,Concrete instance of the lab sampling template for magnetic mixed concentrate TFe.
