from_variable,to_variable,stage,formula_id,edge_type,source_v4_line
inst_circ_load,circulating_load,tower_mill,V5_0289,formula_parent,1357
circulating_load,circulating_load_lag,tower_mill,V5_0290,formula_parent,1323
L_sand_control,circulating_load_lag,tower_mill,V5_0290,formula_parent,1323
c0,clog_buildup,magnetic,V5_0291,formula_parent,1224
c_clay,clog_buildup,magnetic,V5_0291,formula_parent,1224
clay,clog_buildup,magnetic,V5_0291,formula_parent,1224
c_f25,clog_buildup,magnetic,V5_0291,formula_parent,1224
f25,clog_buildup,magnetic,V5_0291,formula_parent,1224
c_C,clog_buildup,magnetic,V5_0291,formula_parent,1224
c_load,clog_buildup,magnetic,V5_0291,formula_parent,1224
Q_feed,clog_buildup,magnetic,V5_0291,formula_parent,1224
Q_ref,clog_buildup,magnetic,V5_0291,formula_parent,1224
c_flush_Q,clog_wash,magnetic,V5_0292,formula_parent,1230
Q_flush_prev,clog_wash,magnetic,V5_0292,formula_parent,1230
Q_flush_ref,clog_wash,magnetic,V5_0292,formula_parent,1230
c_pul_clog,clog_wash,magnetic,V5_0292,formula_parent,1230
f_pul_prev,clog_wash,magnetic,V5_0292,formula_parent,1230
f_pul_ref,clog_wash,magnetic,V5_0292,formula_parent,1230
R_hm_j,conc_j,magnetic,V5_0293,formula_parent,534
feed_j,conc_j,magnetic,V5_0293,formula_parent,534
Entr,conc_j,magnetic,V5_0293,formula_parent,534
Gangue,conc_j,magnetic,V5_0293,formula_parent,534
entr_share_j,conc_j,magnetic,V5_0293,formula_parent,534
k_dust,d(air_filter_fouling)/dt,flotation,V5_0294,formula_parent,1539
