from_variable,to_variable,stage,formula_id,edge_type,source_v4_line
buffer_capacity,Stream,global,V5_0203,formula_parent,159
hydrophobic_potential,Stream,global,V5_0203,formula_parent,159
Fe_total,TFe,global,V5_0204,formula_parent,179
M_solid,TFe,global,V5_0204,formula_parent,179
G_base_i,TFe_i,boundary,V5_0205,formula_parent,320
k_mag_G,TFe_i,boundary,V5_0205,formula_parent,320
r_mag_i,TFe_i,boundary,V5_0205,formula_parent,320
r_mag_ref,TFe_i,boundary,V5_0205,formula_parent,320
k_clay_G,TFe_i,boundary,V5_0205,formula_parent,320
clay_i,TFe_i,boundary,V5_0205,formula_parent,320
xi_G_i,TFe_i,boundary,V5_0205,formula_parent,320
G_min,TFe_i,boundary,V5_0205,formula_parent,320
G_max,TFe_i,boundary,V5_0205,formula_parent,320
M_solid_1,TFe_mixed,boundary,V5_0206,formula_parent,395
TFe_1,TFe_mixed,boundary,V5_0206,formula_parent,395
M_solid_2,TFe_mixed,boundary,V5_0206,formula_parent,395
TFe_2,TFe_mixed,boundary,V5_0206,formula_parent,395
M_solid_3,TFe_mixed,boundary,V5_0206,formula_parent,395
TFe_3,TFe_mixed,boundary,V5_0206,formula_parent,395
M_solid_mixed,TFe_mixed,boundary,V5_0206,formula_parent,395
T_tm_overflow_delayed,T_NT_in_s,flotation,V5_0207,formula_parent,1449
k_cool_to_NT,T_NT_in_s,flotation,V5_0207,formula_parent,1449
T_amb,T_NT_in_s,flotation,V5_0207,formula_parent,1449
T_amb,T_bearing1,tower_mill,V5_0208,formula_parent,1394
kbrg1,T_bearing1,tower_mill,V5_0208,formula_parent,1394
P_mech,T_bearing1,tower_mill,V5_0208,formula_parent,1394
kb_mu1,T_bearing1,tower_mill,V5_0208,formula_parent,1394
mu_feed,T_bearing1,tower_mill,V5_0208,formula_parent,1394
event_bearing1_fault,T_bearing1,tower_mill,V5_0208,formula_parent,1394
delta_fault,T_bearing1,tower_mill,V5_0208,formula_parent,1394
T_amb,T_bearing2,tower_mill,V5_0209,formula_parent,1395
kbrg2,T_bearing2,tower_mill,V5_0209,formula_parent,1395
P_mech,T_bearing2,tower_mill,V5_0209,formula_parent,1395
kb_mu2,T_bearing2,tower_mill,V5_0209,formula_parent,1395
mu_feed,T_bearing2,tower_mill,V5_0209,formula_parent,1395
event_bearing2_fault,T_bearing2,tower_mill,V5_0209,formula_parent,1395
delta_fault,T_bearing2,tower_mill,V5_0209,formula_parent,1395
T_coil_ss,T_coil,magnetic,V5_0210,formula_parent,1222
T_coil_prev,T_coil,magnetic,V5_0210,formula_parent,1222
tau_coil,T_coil,magnetic,V5_0210,formula_parent,1222
T_amb,T_coil_ss,magnetic,V5_0211,formula_parent,1221
k_loss_coil,T_coil_ss,magnetic,V5_0211,formula_parent,1221
P_coil_loss,T_coil_ss,magnetic,V5_0211,formula_parent,1221
k_cool_coil,T_coil_ss,magnetic,V5_0211,formula_parent,1221
Q_cooling_water,T_coil_ss,magnetic,V5_0211,formula_parent,1221
T_oil_ss,T_oil,tower_mill,V5_0212,formula_parent,1392
T_oil_prev,T_oil,tower_mill,V5_0212,formula_parent,1392
tau_oil,T_oil,tower_mill,V5_0212,formula_parent,1392
T_oil,T_oil_out,tower_mill,V5_0213,formula_parent,1393
k_oil_delta,T_oil_out,tower_mill,V5_0213,formula_parent,1393
oil_flow,T_oil_out,tower_mill,V5_0213,formula_parent,1393
k_oil_heat,T_oil_out,tower_mill,V5_0213,formula_parent,1393
P_mech,T_oil_out,tower_mill,V5_0213,formula_parent,1393
T_amb,T_oil_ss,tower_mill,V5_0214,formula_parent,1391
kP_oil,T_oil_ss,tower_mill,V5_0214,formula_parent,1391
P_mech,T_oil_ss,tower_mill,V5_0214,formula_parent,1391
kcool_oil,T_oil_ss,tower_mill,V5_0214,formula_parent,1391
oil_cooling_flow,T_oil_ss,tower_mill,V5_0214,formula_parent,1391
T_slurry_discharge_prev,T_slurry_discharge,tower_mill,V5_0215,formula_parent,1382
tau_mill_residence,T_slurry_discharge,tower_mill,V5_0215,formula_parent,1382
T_slurry_discharge_inst,T_slurry_discharge,tower_mill,V5_0215,formula_parent,1382
T_slurry_sand,T_slurry_discharge_inst,tower_mill,V5_0216,formula_parent,1378
delta_T_mill,T_slurry_discharge_inst,tower_mill,V5_0216,formula_parent,1378
k_cool_pipe,T_slurry_discharge_inst,tower_mill,V5_0216,formula_parent,1378
T_amb,T_slurry_discharge_inst,tower_mill,V5_0216,formula_parent,1378
T_slurry_feed_prev,T_slurry_feed,tower_mill,V5_0217,formula_parent,1306
tau_cyc_pool,T_slurry_feed,tower_mill,V5_0217,formula_parent,1306
T_slurry_feed_in,T_slurry_feed,tower_mill,V5_0217,formula_parent,1306
M_wet_mag_conc,T_slurry_feed_in,tower_mill,V5_0218,formula_parent,1296
Cp_slurry_mag,T_slurry_feed_in,tower_mill,V5_0218,formula_parent,1296
T_slurry_mag_conc,T_slurry_feed_in,tower_mill,V5_0218,formula_parent,1296
M_wet_tm_discharge,T_slurry_feed_in,tower_mill,V5_0218,formula_parent,1296
Cp_slurry_tm,T_slurry_feed_in,tower_mill,V5_0218,formula_parent,1296
T_slurry_discharge_prev,T_slurry_feed_in,tower_mill,V5_0218,formula_parent,1296
T_amb,T_slurry_i,boundary,V5_0219,formula_parent,374
k_ore_temp,T_slurry_i,boundary,V5_0219,formula_parent,374
T_ore_feed,T_slurry_i,boundary,V5_0219,formula_parent,374
k_water_temp,T_slurry_i,boundary,V5_0219,formula_parent,374
T_process_water,T_slurry_i,boundary,V5_0219,formula_parent,374
M_wet_i,T_slurry_mixed,boundary,V5_0220,formula_parent,411
Cp_slurry_i,T_slurry_mixed,boundary,V5_0220,formula_parent,411
T_slurry_i,T_slurry_mixed,boundary,V5_0220,formula_parent,411
T_slurry_feed,T_slurry_overflow,tower_mill,V5_0221,formula_parent,1351
k_cool_cyc,T_slurry_overflow,tower_mill,V5_0221,formula_parent,1351
T_amb,T_slurry_overflow,tower_mill,V5_0221,formula_parent,1351
T_slurry_feed,T_slurry_sand,tower_mill,V5_0222,formula_parent,1353
k_cool_sand,T_slurry_sand,tower_mill,V5_0222,formula_parent,1353
T_amb,T_slurry_sand,tower_mill,V5_0222,formula_parent,1353
